Aminoacid_12vs15,Chi2,p_value,Significance: 0.0004385964912280702
Ala,195.79091029595685,3.424378454159556e-42,Significant
Arg,167.67456219584267,2.2866405148964445e-34,Significant
Asn,38.67287617361672,5.011246881254095e-10,Significant
Asp,248.05182066042818,6.905050600983186e-56,Significant
Glu,79.54756855982666,4.707537762270048e-19,Significant
Gly,200.2113712270513,3.7974382450566764e-43,Significant
His,40.33819752588524,2.1359185938712443e-10,Significant
Ile,118.41029422810115,1.9387923976030604e-26,Significant
Leu,445.5134926506253,4.5604271223229204e-94,Significant
Lys,466.9963801115313,1.4433869734769051e-103,Significant
Phe,220.4979670036849,7.043115914934473e-50,Significant
Pro,110.1932191366881,9.971325660508286e-24,Significant
Ser,196.0124707079859,2.024449621531485e-40,Significant
Stop,35.04620740579522,2.4536508078023774e-08,Significant
Thr,241.7517979415439,3.978088419687478e-52,Significant
Tyr,63.38470770139349,1.7003290920020404e-15,Significant
Val,193.6914114173406,9.7311629492562e-42,Significant
