Aminoacid_12vs15,Chi2,p_value,Significance: 0.00034722222222222224
Ala,6529.946449055515,0.0,Significant
Arg,21573.169900586545,0.0,Significant
Asn,2657.9290402705283,0.0,Significant
Asp,2870.1375177516293,0.0,Significant
Cys,1713.3739496657638,0.0,Significant
Gln,5949.633442692987,0.0,Significant
Glu,9966.605464631051,0.0,Significant
Gly,7141.557016564275,0.0,Significant
His,2163.946276634387,0.0,Significant
Ile,6183.308574434652,0.0,Significant
Leu,14143.114634197433,0.0,Significant
Lys,5721.854581372239,0.0,Significant
Phe,1485.8928662524897,0.0,Significant
Pro,8361.318457698264,0.0,Significant
Ser,8539.03576224363,0.0,Significant
Stop,62.03167364736735,3.3883886307772515e-14,Significant
Thr,6234.652771610994,0.0,Significant
Tyr,1351.5161995677438,7.214310823275867e-296,Significant
Val,6779.244587897736,0.0,Significant
